Engagement	Location	Date	Casualties 1	Casualties 2	Result
Battle of Piotrków Trybunalski						
Battle of Hel						
Battle of the Bzura						
Battle of Tomaszów Lubelski						
Battle of Krasnobród (1939)						
Soviet invasion of Poland						
Battle of Szack						
Battle of Wytyczno						
Winter War						
Battle of Suomussalmi						
Battle of Summa						
Battle of Raate Road						
Battle of Kollaa						
Battle of Petsamo (1939)						
Operation Barbarossa						
Defense of Brest Fortress						
Battle of Białystok-Minsk						
Operation Rentier						
Baltic Operation						
Battle of Raseiniai						
Battle of Brody (1941)						
Continuation War						
Operation Silver Fox						
Operation Platinum Fox						
Operation Arctic Fox						
Battle of Smolensk (1941)						
Battle of Uman						
Siege of Odessa (1941)						
Battle of Kiev (1941)						
Soviet evacuation of Tallinn						
Yelnya Offensive						
Battle of the Sea of Azov						
Siege of Leningrad						
Sinyavino Offensive (1942)						
Operation Iskra						
Battle of Bryansk (1941)						
Crimean Campaign						
First Battle of Kharkov						
Battle at Borodino Field						
Siege of Sevastopol (1941-42)						
Battle of the Kerch Peninsula						
Battle of Moscow						
Battles of Rzhev						
Toropets-Kholm Offensive						
Demyansk Pocket						
Second Battle of Kharkov						
Case Blue						
Battle of Voronezh (1942)						
Battle of the Caucasus						
Battle of Stalingrad						
Operation Uranus						
Operation Mars						
Operation Little Saturn						
Tatsinskaya Raid						
Battle of Nikolayevka						
Operation Winter Storm						
Battle for Velikiye Luki						
Operation Polyarnaya Zvezda						
Battle of Krasny Bor						
Ostrogozhsk-Rossosh Offensive						
Voronezh-Kastornensk operation						
Third Battle of Kharkov						
Operation Citadel						
Battle of Kursk						
Battle of Prokhorovka						
Operation Kutuzov						
Battle of Smolensk (1943)						
Battle of Lenino						
Belgorod-Kharkov Offensive Operation						
Belgorod-Bogodukhov Offensive Operation						
Battle of the Dnieper						
Battle of Kiev (1943)						
Dnieper-Carpathian Offensive						
Battle of the Korsun-Cherkassy Pocket						
Uman-Botoșani Offensive						
Kamenets-Podolsky pocket						
Leningrad-Novgorod Offensive						
Battle of the Korsun-Cherkassy Pocket						
Battle of Narva (1944)						
Krasnoye Selo-Ropsha Offensive						
Kingisepp-Gdov Offensive						
Battle for Narva Bridgehead						
Battle of Auvere						
Narva Offensive (15-28 February 1944)						
Narva Offensive (1-4 March 1944)						
Narva Offensive (July 1944)						
Battle of Tannenberg Line						
Crimean Offensive						
Kerch-Eltigen Operation						
Šiauliai Offensive						
Battle of Someri						
Vyborg-Petrozavodsk Offensive						
Operation Bagration						
Vitebsk-Orsha Offensive						
Mogilev Offensive						
Bobruysk Offensive						
Minsk Offensive						
Polotsk Offensive						
Šiauliai Offensive						
Vilnius Offensive						
Belostock Offensive						
Lublin-Brest Offensive						
Kaunas Offensive						
Osovets Offensive						
Battle of Tali-Ihantala						
Battle of Vyborg Bay (1944)						
Lvov-Sandomierz Offensive						
Battle of Radzymin (1944)						
Warsaw Uprising						
Battle of Studzianki						
Operation Doppelkopf						
Jassy-Kishinev Offensive						
First Jassy-Kishinev Offensive						
First Battle of Târgu Frumos						
Second Battle of Târgu Frumos						
Slovak National Uprising						
Battle of the Dukla Pass						
Baltic Offensive						
Riga Offensive (1944)						
Tallinn Offensive						
Battle of Porkuni						
Moonsund Landing Operation						
Battle of Memel						
Belgrade Offensive						
Battle of Debrecen						
Operation Panzerfaust						
Courland Pocket						
Gumbinnen Operation						
Budapest Offensive						
Siege of Budapest						
Vistula-Oder Offensive						
Battle of Poznań (1945)						
East Prussian Offensive						
Heiligenbeil Pocket						
Battle of Königsberg						
Defense of Schwedt Bridgehead						
Lower Silesian Offensive						
Siege of Breslau						
Upper Silesian Offensive						
Operation Solstice						
East Pomeranian Offensive						
Operation Spring Awakening						
Battle of the Transdanubian Hills						
Nagykanizsa-Körmend Offensive						
Vienna Offensive						
Samland Offensive						
Battle of Berlin						
Battle of the Oder-Neisse						
Battle of the Seelow Heights						
