name,lat,lon,1790-rank,1790-pop,1790-per,1800-rank,1800-pop,1800-per,1810-rank,1810-pop,1810-per,1820-rank,1820-pop,1820-per,1830-rank,1830-pop,1830-per,1840-rank,1840-pop,1840-per,1850-rank,1850-pop,1850-per,1860-rank,1860-pop,1860-per,1870-rank,1870-pop,1870-per,1880-rank,1880-pop,1880-per,1890-rank,1890-pop,1890-per,1900-rank,1900-pop,1900-per,1910-rank,1910-pop,1910-per,1920-rank,1920-pop,1920-per,1930-rank,1930-pop,1930-per,1940-rank,1940-pop,1940-per,1950-rank,1950-pop,1950-per,1960-rank,1960-pop,1960-per,1970-rank,1970-pop,1970-per,1980-rank,1980-pop,1980-per,1990-rank,1990-pop,1990-per,2000-rank,2000-pop,2000-per,2010-rank,2010-pop,2010-per
Washington,38.9071923,-77.0368707,,,,7,11.2,0.04,7,20.4,0.05,5,28.8,0.05,7,35.5,0.04,8,50.2,0.03,11,67,0.03,14,80,0.02,14,123,0.02,14,164,0.02,13,253,0.02,14,302,0.02,17,357,0.02,16,467,0.02,17,527,0.02,13,800,0.02,11,1287,0.03,9,1905,0.03,8,2671,0.04,8,2912,0.04,8,3363,0.04,10,3934,0.04,10,4697,0.04
"Schenectady, NY",42.8142432,-73.9395687,,,,16,5.3,0.02,19,5.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New London, CT",41.3556539,-72.0995209,,,,18,5.2,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah,32.0835407,-81.0998342,,,,19,5.2,0.02,,,,15,7.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,34.0522342,-118.2436849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,374,0.02,11,682,0.03,5,1617,0.06,4,2268,0.07,3,4250,0.09,2,6805,0.12,2,7984,0.12,2,10841,0.14,2,13522,0.16,2,14661,0.14,2,15750,0.14
Chicago,41.8781136,-87.6297982,,,,,,,,,,,,,,,,,,,17,40,0.01,8,123,0.03,5,324,0.06,4,543,0.07,3,1141,0.11,2,1759,0.12,2,2283,0.12,2,2859,0.12,2,3718,0.13,2,4210,0.12,2,5208,0.11,3,6377,0.11,3,7164,0.11,3,7325,0.1,3,7373,0.08,3,8419,0.08,3,9023,0.08
Detroit,42.331427,-83.0457538,,,,,,,,,,,,,,,,20,21.2,0.01,19,38,0.01,16,59,0.02,16,101,0.02,15,147,0.02,15,237,0.02,13,321,0.02,11,503,0.03,5,1071,0.05,4,1721,0.06,5,2041,0.06,5,2884,0.06,5,3750,0.06,5,4085,0.06,5,4214,0.05,7,3698,0.04,11,3903,0.04,12,4160,0.04
San Francisco,37.7749295,-122.4194155,,,,,,,,,,,,,,,,,,,,,,17,57,0.01,11,151,0.03,9,236,0.03,10,302,0.03,10,375,0.03,7,604,0.03,9,771,0.03,7,996,0.03,7,1156,0.03,7,2131,0.05,6,2607,0.04,6,3049,0.04,6,4185,0.05,4,5386,0.06,4,5973,0.06,4,6828,0.06
Pittsburgh,40.4406248,-79.9958864,,,,,,,,,,19,7.3,0.01,13,15.4,0.02,9,43.7,0.03,9,86,0.03,11,93,0.02,9,170,0.03,8,265,0.04,7,396,0.04,6,532,0.04,6,655,0.04,8,775,0.03,9,960,0.03,8,1134,0.03,10,1400,0.03,8,2105,0.04,9,2124,0.03,13,1810,0.02,19,1744,0.02,,,,,,
St. Louis,38.6270025,-90.1994042,,,,,,,,,,,,,,,,17,28.4,0.02,8,95,0.04,6,176,0.04,4,345,0.06,5,386,0.05,5,490,0.05,5,626,0.04,5,760,0.04,6,859,0.04,10,950,0.03,9,1102,0.03,8,1541,0.03,10,1864,0.03,10,2123,0.03,12,1849,0.02,17,1947,0.02,19,2078,0.02,20,2246,0.02
Cleveland,41.49932,-81.6943605,,,,,,,,,,,,,,,,,,,,,,19,49,0.01,17,101,0.02,13,169,0.02,11,274,0.03,8,396,0.03,9,580,0.03,7,834,0.04,8,976,0.03,10,1079,0.03,9,1425,0.03,11,1785,0.03,12,1960,0.03,16,1752,0.02,,,,,,,,,
Dallas,32.7766642,-96.7969879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,855,0.02,12,1435,0.02,11,2016,0.03,10,2713,0.04,10,3265,0.04,7,4445,0.04,6,5685,0.05
Minneapolis,44.977753,-93.2650108,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,94,0.01,9,305,0.03,11,374,0.03,10,526,0.03,12,626,0.03,12,753,0.03,12,886,0.03,13,987,0.02,14,1377,0.02,14,1701,0.02,14,1788,0.02,15,2080,0.02,16,2389,0.02,17,2651,0.02
Miami,25.7616798,-80.1917902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1173,0.02,13,1834,0.03,11,2616,0.03,6,3948,0.05,6,4919,0.05,7,5513,0.05
Milwaukee,43.0389025,-87.9064736,,,,,,,,,,,,,,,,,,,,,,20,48,0.01,18,75,0.01,18,121,0.02,16,212,0.02,15,296,0.02,14,389,0.02,14,478,0.02,14,615,0.02,15,705,0.02,16,829,0.02,16,1150,0.02,17,1252,0.02,,,,,,,,,,,,
Houston,29.7604267,-95.3698028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,471,0.01,18,701,0.02,17,1140,0.02,15,1678,0.02,9,2757,0.04,11,3088,0.04,8,4063,0.04,8,5382,0.05
Buffalo,42.8864468,-78.8783689,,,,,,,,,,,,,20,8.7,0.01,15,29.3,0.02,10,80,0.03,12,90,0.02,12,133,0.02,12,171,0.02,12,272,0.03,12,373,0.03,13,420,0.02,13,539,0.02,13,620,0.02,14,708,0.02,14,895,0.02,18,1054,0.02,,,,,,,,,,,,,,,
Cincinnati,39.1031182,-84.5120196,,,,,,,,,,12,9.6,0.02,10,24.8,0.03,7,54.8,0.03,5,133,0.05,5,192,0.05,7,257,0.04,7,307,0.04,8,344,0.03,9,379,0.03,12,425,0.02,15,470,0.02,15,580,0.02,17,559,0.02,17,813,0.02,19,994,0.02,,,,,,,,,,,,,,,
Kansas City,39.0997265,-94.5785667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,165,0.02,18,242,0.02,16,357,0.02,17,455,0.02,16,561,0.02,16,632,0.02,19,698,0.02,20,921,0.02,,,,,,,,,,,,,,,
New Orleans,29.9510658,-90.0715323,,,,,,,8,17.2,0.04,6,27.2,0.05,5,46.1,0.05,5,105,0.07,6,123,0.05,7,172,0.04,8,196,0.03,10,219,0.03,14,245,0.02,16,291,0.02,18,344,0.02,18,393,0.02,18,469,0.02,18,557,0.02,20,660,0.01,,,,,,,,,,,,,,,,,,
San Diego,32.715738,-117.1610838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1198,0.02,17,1704,0.02,13,2348,0.03,15,2674,0.03,15,2985,0.03
Atlanta,33.7489954,-84.3879824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1172,0.02,18,1613,0.02,14,2158,0.02,12,3500,0.03,9,4743,0.04
Phoenix,33.4483771,-112.0740373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1409,0.02,16,2006,0.02,14,2975,0.03,13,3863,0.03
Seattle,47.6062095,-122.3320708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,334,0.01,19,390,0.01,20,451,0.01,,,,,,,18,1238,0.02,20,1392,0.02,12,2354,0.03,13,3018,0.03,14,3446,0.03
Tampa,27.950575,-82.4571776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1709,0.02,20,2062,0.02,19,2442,0.02
Louisville,38.2526647,-85.7584557,,,,,,,,,,,,,16,10.3,0.01,12,34.2,0.02,13,61,0.02,13,88,0.02,13,129,0.02,16,143,0.02,18,183,0.02,19,227,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,43.16103,-77.6109219,,,,,,,,,,,,,19,9.2,0.01,13,31.4,0.02,16,49,0.02,18,56,0.01,19,73,0.01,19,103,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,40.735657,-74.1723667,,,,,,,,,,,,,14,14.4,0.02,14,29.8,0.02,14,57,0.02,10,103,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland, ME",43.661471,-70.2553259,,,,,,,15,7.2,0.02,13,8.6,0.02,15,12.6,0.01,16,28.6,0.02,20,36,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Bedford,41.6362152,-70.934205,,,,,,,,,,,,,,,,18,24.1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,43.0481221,-76.1474244,,,,,,,,,,,,,,,,,,,18,38,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,39.768403,-86.158068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,323,0.01,20,379,0.01,,,,,,,,,,,,,,,,,,,,,,,,
Denver,39.7392358,-104.990251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2231,0.02,16,2716,0.02
