state,sterilizations,region
AL,224,southeast
AZ,30,southwest
CA,20108,west
CT,557,northeast
DE,945,northeast
GA,3284,southeast
ID,38,west
IN,2424,midwest
IA,1910,midwest
KS,3032,midwest
ME,326,northeast
MI,3786,midwest
MN,2350,midwest
MS,683,southeast
MT,256,west
NE,902,midwest
NH,679,northeast
NY,42,northeast
NC,6297,southeast
ND,1049,midwest
OK,556,southwest
OR,2341,west
SC,277,southeast
SD,789,midwest
UT,764,west
VT,253,northeast
VA,7162,southeast
WA,685,west
WV,98,southeast
WI,1796,midwest
