DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
JACOB'S PICKLES,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",106,MANHATTAN,509,AMSTERDAM AVENUE,10024,"509 AMSTERDAM AVENUE, MANHATTAN, New York City, 10024",40.7866273 -73.97553590000001
WANG CHINA CITY,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,40,BROOKLYN,756,LINDEN BOULEVARD,11203,"756 LINDEN BOULEVARD, BROOKLYN, New York City, 11203",40.6535806 -73.92998139999997
DEE & L'S PIZZA PLUS,Pizza,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",82,QUEENS,14621,ROCKAWAY BLVD,11436,"14621 ROCKAWAY BLVD, QUEENS, New York City, 11436",40.673737 -73.79121700000002
MCBEANS RESTAURANT,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,55,BROOKLYN,1501,FLATBUSH AVE,11210,"1501 FLATBUSH AVE, BROOKLYN, New York City, 11210",40.6338323 -73.94847229999999
PUTTIN ON A BAGEL COFFEE SHOP,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,86,STATEN ISLAND,714,CASTLETON AVE,10310,"714 CASTLETON AVE, STATEN ISLAND, New York City, 10310",40.6345688 -74.10622639999997
GRAN FAMILIA MEXICANA RESTAURANT,Mexican,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",35,BROOKLYN,117,AVENUE U,11223,"117 AVENUE U, BROOKLYN, New York City, 11223",40.5964219 -73.98002659999997
B&S COFFEE SHOP,Caf̩/Coffee/Tea,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",54,QUEENS,2106,36TH AVE,11106,"2106 36TH AVE, QUEENS, New York City, 11106",40.7596296 -73.93664920000003
EUREST DINING SERVICE (American Express),American,04M,Live roaches present in facility's food and/or non-food areas.,81,MANHATTAN,200,VESEY STREET,10285,"200 VESEY STREET, MANHATTAN, New York City, 10285",40.7136518 -74.0148072
NEW PHOENIX,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,STATEN ISLAND,480,TARGEE STREET,10304,"480 TARGEE STREET, STATEN ISLAND, New York City, 10304",40.6153882 -74.0849579
MEI LAI WAH COFFEE SHOP,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,42,MANHATTAN,62-64,BAYARD ST,10013,"62-64 BAYARD ST, MANHATTAN, New York City, 10013",40.7155666 -73.99799230000002
SAGAR RESTAURANT,Bangladeshi,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,QUEENS,16825,HILLSIDE AVENUE,11432,"16825 HILLSIDE AVENUE, QUEENS, New York City, 11432",40.710485 -73.79430300000001
FRESCO TORTILLAS,Tex-Mex,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,MANHATTAN,858,10 AVENUE,10019,"858 10 AVENUE, MANHATTAN, New York City, 10019",40.7685815 -73.9886085
EL MANGU SABROSO RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,BRONX,80,WEST KINGSRIDGE ROAD,10468,"80 WEST KINGSRIDGE ROAD, BRONX, New York City, 10468",40.867927 -73.90051849999998
TASTEE PATTEE,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,17,BROOKLYN,1371,FULTON STREET,11216,"1371 FULTON STREET, BROOKLYN, New York City, 11216",40.6804056 -73.9465035
EL NUEVO JB BAKERY,Bakery,04M,Live roaches present in facility's food and/or non-food areas.,66,BRONX,97,W FORDHAM RD,10468,"97 W FORDHAM RD, BRONX, New York City, 10468",40.86299899999999 -73.90452349999998
LA SABROSURA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,72,QUEENS,3320,30 AVENUE,11103,"3320 30 AVENUE, QUEENS, New York City, 11103",40.765623 -73.919241
ACAPULCO DELI & RESTAURANT,Mexican,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",28,BROOKLYN,1116,MANHATTAN AVENUE,11222,"1116 MANHATTAN AVENUE, BROOKLYN, New York City, 11222",40.7367074 -73.95512730000002
MOJITO'S,Mexican,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,MANHATTAN,227,EAST  116 STREET,10029,"227 EAST  116 STREET, MANHATTAN, New York City, 10029",40.7976795 -73.9387213
THE CREEK AND THE CAVE,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,37,QUEENS,1093,JACKSON AVENUE,11101,"1093 JACKSON AVENUE, QUEENS, New York City, 11101",40.7432457 -73.95170410000003
PARTY WELL REST & ORIENTAL BAKERY,Korean,04M,Live roaches present in facility's food and/or non-food areas.,11,QUEENS,14932,41ST AVE,11355,"14932 41ST AVE, QUEENS, New York City, 11355",40.7622106 -73.8145146
SALVO'S,Pizza/Italian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",90,MANHATTAN,1477,YORK AVENUE,10075,"1477 YORK AVENUE, MANHATTAN, New York City, 10075",40.7709263 -73.95109680000002
18 BAKERY,Bakery,04M,Live roaches present in facility's food and/or non-food areas.,44,BROOKLYN,6820,18 AVENUE,11204,"6820 18 AVENUE, BROOKLYN, New York City, 11204",40.617148 -73.99257999999998
BELLA'S PLACE,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,QUEENS,8777,SUTPHIN BLVD,11435,"8777 SUTPHIN BLVD, QUEENS, New York City, 11435",40.7051606 -73.80924190000002
EL VALLE COCINA RESTAURANT,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,50,BRONX,3535,JEROME AVENUE,10467,"3535 JEROME AVENUE, BRONX, New York City, 10467",40.88266309999999 -73.88161259999998
HERO FACTORY,Sandwiches,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,BRONX,904,EAST  149 STREET,10455,"904 EAST  149 STREET, BRONX, New York City, 10455",40.8099034 -73.90346629999999
"IRIS TEA & BAKERY, QUICKLY",Bakery,04M,Live roaches present in facility's food and/or non-food areas.,53,QUEENS,3907,PRINCE ST,11354,"3907 PRINCE ST, QUEENS, New York City, 11354",40.75950539999999 -73.8319682
NEW GARDEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,42,BRONX,1535,WESTCHESTER AVE,10472,"1535 WESTCHESTER AVE, BRONX, New York City, 10472",40.8288725 -73.87860219999999
N RICO CAFE,American,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,86,BRONX,801,SOUTHERN BLVD,10459,"801 SOUTHERN BLVD, BRONX, New York City, 10459",40.8166288 -73.89615349999997
TURCO,Middle Eastern,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40,MANHATTAN,604,9TH AVE,10036,"604 9TH AVE, MANHATTAN, New York City, 10036",40.7591159 -73.99175780000002
AMAZE FUSION & LOUNGE,Asian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",38,MANHATTAN,694,3RD AVE,10017,"694 3RD AVE, MANHATTAN, New York City, 10017",40.7519248 -73.97396609999998
KAM'S KITCHEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,50,QUEENS,21709,LINDEN BLVD,11411,"21709 LINDEN BLVD, QUEENS, New York City, 11411",40.6960341 -73.74233759999998
POLKA DOT,Polish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",61,BROOKLYN,726,MANHATTAN AVE,11222,"726 MANHATTAN AVE, BROOKLYN, New York City, 11222",40.7261745 -73.95193640000002
TACOS MATAMOROS RESTAURANT,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,49,BROOKLYN,4508,5 AVENUE,11220,"4508 5 AVENUE, BROOKLYN, New York City, 11220",40.6478295 -74.0078368
TENZAN 89,Japanese,04M,Live roaches present in facility's food and/or non-food areas.,18,MANHATTAN,1714,2ND AVE,10128,"1714 2ND AVE, MANHATTAN, New York City, 10128",40.779571 -73.95009700000003
GOODFELLA'S PIZZERIA,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,12,STATEN ISLAND,1718,HYLAN BOULEVARD,10305,"1718 HYLAN BOULEVARD, STATEN ISLAND, New York City, 10305",40.5867953 -74.09149609999997
LA FAMILIA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04M,Live roaches present in facility's food and/or non-food areas.,49,BROOKLYN,938,4 AVENUE,11232,"938 4 AVENUE, BROOKLYN, New York City, 11232",40.6549191 -74.00420220000001
KING BAKERY,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",56,MANHATTAN,90,EAST BROADWAY,10002,"90 EAST BROADWAY, MANHATTAN, New York City, 10002",40.7139543 -73.99376139999998
B&S COFFEE SHOP,Caf̩/Coffee/Tea,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,QUEENS,2106,36TH AVE,11106,"2106 36TH AVE, QUEENS, New York City, 11106",40.7596296 -73.93664920000003
NY PIZZA GRILL & CAFE,American,04M,Live roaches present in facility's food and/or non-food areas.,77,QUEENS,9114,SUTPHIN BLVD,11435,"9114 SUTPHIN BLVD, QUEENS, New York City, 11435",40.7007223 -73.80796900000001
FAMILY ALTAGRACIA CARIBBEAN CUISINE,Asian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,BROOKLYN,5601,CLARENDON RD,11203,"5601 CLARENDON RD, BROOKLYN, New York City, 11203",40.644985 -73.92365940000002
